id,address,city,street,house_number,entrance,zip,match_type,itm_x,itm_y,utm_x,utm_y
001027-074211-00230-X,"התאנה 230, דימונה",דימונה,התאנה,230,,8602709,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00232-X,"התאנה 232, דימונה",דימונה,התאנה,232,,8602710,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00234-X,"התאנה 234, דימונה",דימונה,התאנה,234,,8602711,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00236-X,"התאנה 236, דימונה",דימונה,התאנה,236,,8602712,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00238-X,"התאנה 238, דימונה",דימונה,התאנה,238,,8602713,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00240-X,"התאנה 240, דימונה",דימונה,התאנה,240,,8602714,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00242-X,"התאנה 242, דימונה",דימונה,התאנה,242,,8602715,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00244-X,"התאנה 244, דימונה",דימונה,התאנה,244,,8602716,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00246-X,"התאנה 246, דימונה",דימונה,התאנה,246,,8602717,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00248-X,"התאנה 248, דימונה",דימונה,התאנה,248,,8602718,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00250-X,"התאנה 250, דימונה",דימונה,התאנה,250,,8602719,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00254-X,"התאנה 254, דימונה",דימונה,התאנה,254,,8602721,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00256-X,"התאנה 256, דימונה",דימונה,התאנה,256,,8602722,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00258-X,"התאנה 258, דימונה",דימונה,התאנה,258,,8602723,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00260-X,"התאנה 260, דימונה",דימונה,התאנה,260,,8602724,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00334-X,"התאנה 334, דימונה",דימונה,התאנה,334,,8602725,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00336-X,"התאנה 336, דימונה",דימונה,התאנה,336,,8602726,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00338-X,"התאנה 338, דימונה",דימונה,התאנה,338,,8602727,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00340-X,"התאנה 340, דימונה",דימונה,התאנה,340,,8602728,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00342-X,"התאנה 342, דימונה",דימונה,התאנה,342,,8602729,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00344-X,"התאנה 344, דימונה",דימונה,התאנה,344,,8602730,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00346-X,"התאנה 346, דימונה",דימונה,התאנה,346,,8602731,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00348-X,"התאנה 348, דימונה",דימונה,התאנה,348,,8602732,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00350-X,"התאנה 350, דימונה",דימונה,התאנה,350,,8602733,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00352-X,"התאנה 352, דימונה",דימונה,התאנה,352,,8602734,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00354-X,"התאנה 354, דימונה",דימונה,התאנה,354,,8602735,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00356-X,"התאנה 356, דימונה",דימונה,התאנה,356,,8602736,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00358-X,"התאנה 358, דימונה",דימונה,התאנה,358,,8602737,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00362-X,"התאנה 362, דימונה",דימונה,התאנה,362,,8602739,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00364-X,"התאנה 364, דימונה",דימונה,התאנה,364,,8602740,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00366-X,"התאנה 366, דימונה",דימונה,התאנה,366,,8602741,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00368-X,"התאנה 368, דימונה",דימונה,התאנה,368,,8602742,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00374-X,"התאנה 374, דימונה",דימונה,התאנה,374,,8602745,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00380-X,"התאנה 380, דימונה",דימונה,התאנה,380,,8602748,street,202509.7,552600.96,693386.87,3438512.95
001027-074211-00382-X,"התאנה 382, דימונה",דימונה,התאנה,382,,8602749,street,202509.7,552600.96,693386.87,3438512.95
001027-074430-00001-X,"הגפן 1, דימונה",דימונה,הגפן,1,,8610565,exact,202669.83,552683.95,693545.33,3438599.11
001027-074430-00002-X,"הגפן 2, דימונה",דימונה,הגפן,2,,8610566,street,202374.59,552635.9,693251.09,3438545.2
001027-074430-00004-X,"הגפן 4, דימונה",דימונה,הגפן,4,,8610568,exact,202569.61,552707.25,693444.67,3438620.41
001027-074430-00005-X,"הגפן 5, דימונה",דימונה,הגפן,5,,8610569,exact,202638.73,552681.53,693514.29,3438596.07
001027-074430-00006-X,"הגפן 6, דימונה",דימונה,הגפן,6,,8610570,exact,202557.38,552685.74,693432.86,3438598.66
001027-074430-00007-X,"הגפן 7, דימונה",דימונה,הגפן,7,,8610571,exact,202599.12,552675.9,693474.79,3438589.65
001027-074430-00008-X,"הגפן 8, דימונה",דימונה,הגפן,8,,8610572,exact,202538.76,552687.98,693414.2,3438600.53
001027-074430-00009-X,"הגפן 9, דימונה",דימונה,הגפן,9,,8610573,exact,202590.36,552670.36,693466.14,3438583.94
001027-074430-00010-X,"הגפן 10, דימונה",דימונה,הגפן,10,,8610574,exact,202529.78,552680.96,693405.36,3438593.34
001027-074430-00011-X,"הגפן 11, דימונה",דימונה,הגפן,11,,8610575,exact,202576.3,552671.43,693452.07,3438584.73
001027-074430-00012-X,"הגפן 12, דימונה",דימונה,הגפן,12,,8610576,exact,202509.01,552687.92,693384.45,3438599.89
001027-074430-00013-X,"הגפן 13, דימונה",דימונה,הגפן,13,,8610577,exact,202567.4,552673.63,693443.12,3438586.75
001027-074430-00014-X,"הגפן 14, דימונה",דימונה,הגפן,14,,8610578,exact,202503.23,552679.09,693378.86,3438590.94
001027-074430-00015-X,"הגפן 15, דימונה",דימונה,הגפן,15,,8610579,exact,202542.01,552664.37,693417.92,3438576.99
001027-074430-00016-X,"הגפן 16, דימונה",דימונה,הגפן,16,,8610580,exact,202506.86,552714.6,693381.78,3438626.52
001027-074430-00017-X,"הגפן 17, דימונה",דימונה,הגפן,17,,8602801,exact,202540.28,552658.31,693416.31,3438570.9
001027-074430-00018-X,"הגפן 18, דימונה",דימונה,הגפן,18,,8602802,exact,202497.59,552709.48,693372.61,3438621.21
001027-074430-00019-X,"הגפן 19, דימונה",דימונה,הגפן,19,,8602803,exact,202529.69,552663.83,693405.61,3438576.2
001027-074430-00021-X,"הגפן 21, דימונה",דימונה,הגפן,21,,8602805,exact,202514.09,552660.05,693390.09,3438572.12
001027-074430-00024-X,"הגפן 24, דימונה",דימונה,הגפן,24,,8602808,exact,202481.99,552683.99,693357.52,3438595.41
001027-074430-00025-X,"הגפן 25, דימונה",דימונה,הגפן,25,,8602809,exact,202466.63,552648.64,693342.87,3438559.77
001027-074430-00026-X,"הגפן 26, דימונה",דימונה,הגפן,26,,8602810,exact,202477.18,552677.27,693352.85,3438588.6
001027-074430-00027-X,"הגפן 27, דימונה",דימונה,הגפן,27,,8602811,exact,202447.42,552644.93,693323.73,3438555.67
001027-074430-00028-X,"הגפן 28, דימונה",דימונה,הגפן,28,,8602812,exact,202461.33,552678.25,693336.98,3438589.26
001027-074430-00029-X,"הגפן 29, דימונה",דימונה,הגפן,29,,8602813,exact,202438.37,552636.98,693314.84,3438547.54
001027-074430-00030-X,"הגפן 30, דימונה",דימונה,הגפן,30,,8602814,exact,202449.18,552675.94,693324.88,3438586.72
001027-074430-00031-X,"הגפן 31, דימונה",דימונה,הגפן,31,,8602815,exact,202422.3,552636.32,693298.79,3438546.57
001027-074430-00032-X,"הגפן 32, דימונה",דימונה,הגפן,32,,8602816,exact,202440.55,552670.84,693316.35,3438581.44
001027-074430-00033-X,"הגפן 33, דימונה",דימונה,הגפן,33,,8602817,exact,202419.7,552621.46,693296.48,3438531.65
001027-074430-00034-X,"הגפן 34, דימונה",דימונה,הגפן,34,,8602818,exact,202423.19,552668.54,693299.04,3438578.8
001027-074430-00035-X,"הגפן 35, דימונה",דימונה,הגפן,35,,8602819,exact,202391.27,552627.79,693267.92,3438537.43
001027-074430-00036-X,"הגפן 36, דימונה",דימונה,הגפן,36,,8602820,exact,202399.89,552663.89,693275.83,3438573.69
001027-074430-00037-X,"הגפן 37, דימונה",דימונה,הגפן,37,,8602821,exact,202379.34,552619.02,693256.18,3438528.42
001027-074430-00040-X,"הגפן 40, דימונה",דימונה,הגפן,40,,8602824,exact,202375.91,552650.72,693252.12,3438560.04
001027-074430-00041-X,"הגפן 41, דימונה",דימונה,הגפן,41,,8602825,exact,202352.54,552610.9,693229.54,3438519.77
001027-074430-00042-X,"הגפן 42, דימונה",דימונה,הגפן,42,,8602826,exact,202352.88,552650.35,693229.09,3438559.22
001027-074430-00043-X,"הגפן 43, דימונה",דימונה,הגפן,43,,8602827,exact,202329.02,552599.77,693206.24,3438508.17
001027-074430-00044-X,"הגפן 44, דימונה",דימונה,הגפן,44,,8602828,exact,202340.2,552636.36,693216.7,3438544.98
001027-074430-00045-X,"הגפן 45, דימונה",דימונה,הגפן,45,,8602829,exact,202313.72,552591.61,693191.11,3438499.71
001027-074430-00046-X,"הגפן 46, דימונה",דימונה,הגפן,46,,8602830,exact,202325.72,552630.49,693202.33,3438538.82
001027-074430-00048-X,"הגפן 48, דימונה",דימונה,הגפן,48,,8602832,street,202374.59,552635.9,693251.09,3438545.2
001027-074430-00049-X,"הגפן 49, דימונה",דימונה,הגפן,49,,8602833,exact,202285.69,552573.12,693163.45,3438480.67
001027-074430-00050-X,"הגפן 50, דימונה",דימונה,הגפן,50,,8602834,street,202374.59,552635.9,693251.09,3438545.2
001027-074430-00051-X,"הגפן 51, דימונה",דימונה,הגפן,51,,8602835,exact,202269.86,552567.27,693147.74,3438474.51
001027-074730-00000-X,"האשל, דימונה",דימונה,האשל,,,8602500,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00016-X,"האשל 16, דימונה",דימונה,האשל,16,,8602501,exact,202783.89,552847.77,693656.12,3438765.16
001027-074730-00552-X,"האשל 552, דימונה",דימונה,האשל,552,,8602502,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00554-X,"האשל 554, דימונה",דימונה,האשל,554,,8602504,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00555-X,"האשל 555, דימונה",דימונה,האשל,555,,8602505,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00557-X,"האשל 557, דימונה",דימונה,האשל,557,,8602507,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00558-X,"האשל 558, דימונה",דימונה,האשל,558,,8602508,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00560-X,"האשל 560, דימונה",דימונה,האשל,560,,8602510,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00561-X,"האשל 561, דימונה",דימונה,האשל,561,,8602511,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00562-X,"האשל 562, דימונה",דימונה,האשל,562,,8602512,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00563-X,"האשל 563, דימונה",דימונה,האשל,563,,8602513,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00564-X,"האשל 564, דימונה",דימונה,האשל,564,,8602514,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00566-X,"האשל 566, דימונה",דימונה,האשל,566,,8602516,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00567-X,"האשל 567, דימונה",דימונה,האשל,567,,8602517,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00568-X,"האשל 568, דימונה",דימונה,האשל,568,,8602518,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00569-X,"האשל 569, דימונה",דימונה,האשל,569,,8602519,street,202817.04,552828.53,693689.65,3438746.59
001027-074730-00570-X,"האשל 570, דימונה",דימונה,האשל,570,,8602520,street,202817.04,552828.53,693689.65,3438746.59
001027-075069-00010-X,"ההדס 10, דימונה",דימונה,ההדס,10,,8602836,exact,202820.66,552615.19,693697.51,3438533.35
001027-075069-00521-X,"ההדס 521, דימונה",דימונה,ההדס,521,,8602837,street,202812.2,552635.35,693688.65,3438553.34
001027-075069-00522-X,"ההדס 522, דימונה",דימונה,ההדס,522,,8602838,street,202812.2,552635.35,693688.65,3438553.34
001027-075069-00524-X,"ההדס 524, דימונה",דימונה,ההדס,524,,8602840,street,202812.2,552635.35,693688.65,3438553.34
001027-075069-00525-X,"ההדס 525, דימונה",דימונה,ההדס,525,,8602841,street,202812.2,552635.35,693688.65,3438553.34
001027-075069-00526-X,"ההדס 526, דימונה",דימונה,ההדס,526,,8602842,street,202812.2,552635.35,693688.65,3438553.34
001027-075069-00530-X,"ההדס 530, דימונה",דימונה,ההדס,530,,8602843,street,202812.2,552635.35,693688.65,3438553.34
001027-075069-00531-X,"ההדס 531, דימונה",דימונה,ההדס,531,,8602844,street,202812.2,552635.35,693688.65,3438553.34
001027-075520-00000-X,"שד גולדה מאיר, דימונה",דימונה,שד גולדה מאיר,,,8605800,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-00149-X,"שד גולדה מאיר 149, דימונה",דימונה,שד גולדה מאיר,149,,8605887,exact,202919.22,553876.87,693771,3439796.8
001027-075520-01001-X,"שד גולדה מאיר 1001, דימונה",דימונה,שד גולדה מאיר,1001,,8605801,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01001-ב,"שד גולדה מאיר 1001ב, דימונה",דימונה,שד גולדה מאיר,1001,ב,8605803,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01002-א,"שד גולדה מאיר 1002א, דימונה",דימונה,שד גולדה מאיר,1002,א,8605805,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01002-ג,"שד גולדה מאיר 1002ג, דימונה",דימונה,שד גולדה מאיר,1002,ג,8605807,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01003-א,"שד גולדה מאיר 1003א, דימונה",דימונה,שד גולדה מאיר,1003,א,8605810,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01004-X,"שד גולדה מאיר 1004, דימונה",דימונה,שד גולדה מאיר,1004,,8605814,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01004-א,"שד גולדה מאיר 1004א, דימונה",דימונה,שד גולדה מאיר,1004,א,8605815,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01004-ג,"שד גולדה מאיר 1004ג, דימונה",דימונה,שד גולדה מאיר,1004,ג,8605817,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01005-X,"שד גולדה מאיר 1005, דימונה",דימונה,שד גולדה מאיר,1005,,8605818,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01005-א,"שד גולדה מאיר 1005א, דימונה",דימונה,שד גולדה מאיר,1005,א,8605819,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01006-X,"שד גולדה מאיר 1006, דימונה",דימונה,שד גולדה מאיר,1006,,8605822,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01006-א,"שד גולדה מאיר 1006א, דימונה",דימונה,שד גולדה מאיר,1006,א,8605823,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01006-ב,"שד גולדה מאיר 1006ב, דימונה",דימונה,שד גולדה מאיר,1006,ב,8605824,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01007-X,"שד גולדה מאיר 1007, דימונה",דימונה,שד גולדה מאיר,1007,,8605826,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01007-א,"שד גולדה מאיר 1007א, דימונה",דימונה,שד גולדה מאיר,1007,א,8605827,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01007-ד,"שד גולדה מאיר 1007ד, דימונה",דימונה,שד גולדה מאיר,1007,ד,8605830,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01007-ה,"שד גולדה מאיר 1007ה, דימונה",דימונה,שד גולדה מאיר,1007,ה,8605831,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01020-X,"שד גולדה מאיר 1020, דימונה",דימונה,שד גולדה מאיר,1020,,8605832,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01020-א,"שד גולדה מאיר 1020א, דימונה",דימונה,שד גולדה מאיר,1020,א,8605833,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01020-ב,"שד גולדה מאיר 1020ב, דימונה",דימונה,שד גולדה מאיר,1020,ב,8605834,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01020-ג,"שד גולדה מאיר 1020ג, דימונה",דימונה,שד גולדה מאיר,1020,ג,8605835,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01020-ד,"שד גולדה מאיר 1020ד, דימונה",דימונה,שד גולדה מאיר,1020,ד,8605836,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01021-ב,"שד גולדה מאיר 1021ב, דימונה",דימונה,שד גולדה מאיר,1021,ב,8605839,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01021-ה,"שד גולדה מאיר 1021ה, דימונה",דימונה,שד גולדה מאיר,1021,ה,8605842,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01022-X,"שד גולדה מאיר 1022, דימונה",דימונה,שד גולדה מאיר,1022,,8605844,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01022-א,"שד גולדה מאיר 1022א, דימונה",דימונה,שד גולדה מאיר,1022,א,8605845,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01022-ג,"שד גולדה מאיר 1022ג, דימונה",דימונה,שד גולדה מאיר,1022,ג,8605847,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01022-ד,"שד גולדה מאיר 1022ד, דימונה",דימונה,שד גולדה מאיר,1022,ד,8605848,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01022-ה,"שד גולדה מאיר 1022ה, דימונה",דימונה,שד גולדה מאיר,1022,ה,8605849,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01022-ו,"שד גולדה מאיר 1022ו, דימונה",דימונה,שד גולדה מאיר,1022,ו,8605850,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01023-X,"שד גולדה מאיר 1023, דימונה",דימונה,שד גולדה מאיר,1023,,8605852,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01023-א,"שד גולדה מאיר 1023א, דימונה",דימונה,שד גולדה מאיר,1023,א,8605853,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01023-ב,"שד גולדה מאיר 1023ב, דימונה",דימונה,שד גולדה מאיר,1023,ב,8605854,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01023-ג,"שד גולדה מאיר 1023ג, דימונה",דימונה,שד גולדה מאיר,1023,ג,8605855,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01023-ד,"שד גולדה מאיר 1023ד, דימונה",דימונה,שד גולדה מאיר,1023,ד,8605856,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01033-X,"שד גולדה מאיר 1033, דימונה",דימונה,שד גולדה מאיר,1033,,8605857,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01033-א,"שד גולדה מאיר 1033א, דימונה",דימונה,שד גולדה מאיר,1033,א,8605858,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01033-ב,"שד גולדה מאיר 1033ב, דימונה",דימונה,שד גולדה מאיר,1033,ב,8605859,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01033-ג,"שד גולדה מאיר 1033ג, דימונה",דימונה,שד גולדה מאיר,1033,ג,8605860,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01033-ד,"שד גולדה מאיר 1033ד, דימונה",דימונה,שד גולדה מאיר,1033,ד,8605861,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-01034-X,"שד גולדה מאיר 1034, דימונה",דימונה,שד גולדה מאיר,1034,,8605862,exact,202946.47,553619.45,693803.35,3439539.96
001027-075520-01034-א,"שד גולדה מאיר 1034א, דימונה",דימונה,שד גולדה מאיר,1034,א,8605863,exact,202946.47,553619.45,693803.35,3439539.96
001027-075520-01034-ב,"שד גולדה מאיר 1034ב, דימונה",דימונה,שד גולדה מאיר,1034,ב,8605864,exact,202946.47,553619.45,693803.35,3439539.96
001027-075520-01034-ג,"שד גולדה מאיר 1034ג, דימונה",דימונה,שד גולדה מאיר,1034,ג,8605865,exact,202946.47,553619.45,693803.35,3439539.96
001027-075520-01034-ד,"שד גולדה מאיר 1034ד, דימונה",דימונה,שד גולדה מאיר,1034,ד,8605866,exact,202946.47,553619.45,693803.35,3439539.96
001027-075520-01034-ה,"שד גולדה מאיר 1034ה, דימונה",דימונה,שד גולדה מאיר,1034,ה,8605867,exact,202946.47,553619.45,693803.35,3439539.96
001027-075520-01034-ו,"שד גולדה מאיר 1034ו, דימונה",דימונה,שד גולדה מאיר,1034,ו,8605868,exact,202946.47,553619.45,693803.35,3439539.96
001027-075520-04021-א,"שד גולדה מאיר 4021א, דימונה",דימונה,שד גולדה מאיר,4021,א,8605870,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-04021-ב,"שד גולדה מאיר 4021ב, דימונה",דימונה,שד גולדה מאיר,4021,ב,8605871,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-04021-ג,"שד גולדה מאיר 4021ג, דימונה",דימונה,שד גולדה מאיר,4021,ג,8605872,street,202958.41,553726.62,693813.16,3439647.35
001027-075520-04021-ה,"שד גולדה מאיר 4021ה, דימונה",דימונה,שד גולדה מאיר,4021,ה,8605874,street,202958.41,553726.62,693813.16,3439647.35
001027-075677-00006-X,"השבלים 6, דימונה",דימונה,השבלים,6,,8603101,exact,202842,552481.74,693721.49,3438400.35
001027-075677-00062-X,"השבלים 62, דימונה",דימונה,השבלים,62,,8603174,exact,202548.82,552487.81,693428.24,3438400.59
001027-075677-00325-X,"השבלים 325, דימונה",דימונה,השבלים,325,,8602751,street,202629.69,552490.53,693509.04,3438404.91
001027-075677-00327-X,"השבלים 327, דימונה",דימונה,השבלים,327,,8602752,street,202629.69,552490.53,693509.04,3438404.91
